,MATRICULA,REPROVACOES_DE,REPROVACOES_EM,NOTA_DE,NOTA_EM,NOTA_MF,NOTA_GO,REPROVACOES_MF,REPROVACOES_GO,INGLES,H_AULA_PRES,TAREFAS_ONLINE,FALTAS
0,502375,0,0,6.2,5.8,4.6,5.9,0,0,0.0,2,4,3
1,397093,0,0,6.0,6.2,5.2,4.5,0,0,1.0,2,4,3
2,915288,0,0,7.3,6.7,7.1,7.2,0,0,0.0,5,0,3
3,192652,1,3,0.0,0.0,0.0,0.0,1,1,1.0,4,4,4
4,949491,1,3,0.0,0.0,0.0,0.0,1,1,1.0,5,2,5
5,627360,0,0,7.3,7.4,7.6,6.5,0,0,1.0,5,3,5
6,804493,0,0,5.8,6.0,7.3,5.1,0,0,1.0,5,2,6
7,433789,0,0,4.9,5.0,5.9,4.6,0,0,0.0,2,2,6
8,178335,0,0,4.4,4.8,4.7,4.6,0,0,1.0,3,4,4
9,987229,0,0,6.4,5.4,5.0,5.5,0,0,1.0,3,5,3
10,382592,0,0,6.9,7.5,7.3,6.0,0,0,0.0,3,5,5
11,422026,3,1,0.0,0.0,0.0,0.0,1,1,0.0,0,1,7
12,483227,1,1,0.0,0.0,0.0,0.0,1,1,0.0,7,5,5
13,816701,3,1,0.0,0.0,0.0,0.0,1,1,0.0,6,5,3
14,672601,1,3,0.0,0.0,0.0,0.0,1,1,0.0,5,2,6
15,630347,0,0,6.6,4.4,4.9,4.7,0,0,1.0,4,2,4
16,559228,0,0,6.1,4.7,6.5,5.3,0,0,0.0,4,5,3
17,573688,0,0,5.5,5.1,6.2,4.7,0,0,1.0,2,3,6
18,719970,0,0,6.7,6.5,7.0,5.6,0,0,1.0,7,5,3
19,546151,0,0,5.4,5.2,5.0,5.8,0,0,1.0,1,3,5
20,390727,0,0,5.3,4.8,4.8,5.3,0,0,0.0,3,4,4
21,394721,0,0,7.0,7.4,7.3,7.0,0,0,0.0,15,5,2
22,506004,0,0,8.0,8.4,10.0,8.5,0,0,0.0,10,6,2
23,514791,0,0,6.9,6.8,5.5,6.3,0,0,0.0,8,4,5
24,656202,0,0,6.1,5.2,5.6,5.2,0,0,0.0,4,5,3
25,535203,1,1,0.0,0.0,0.0,0.0,1,1,1.0,2,0,3
26,332396,0,0,7.2,7.4,8.1,0.0,0,0,1.0,3,5,2
27,617599,0,0,4.5,4.9,5.5,0.0,0,0,1.0,5,2,6
28,194445,0,0,6.7,7.0,5.9,5.6,0,0,0.0,5,4,4
29,856103,0,0,6.2,6.0,5.0,4.3,0,0,1.0,5,3,6
30,644628,0,0,6.8,7.1,7.9,5.8,0,0,0.0,1,4,6
31,983548,0,0,5.9,6.2,5.7,6.3,0,0,0.0,3,3,4
